lyrics,title
"Take a little walk to the edge of town
And go across the tracks
Where the viaduct looms
Like a bird of doom
As it shifts and cracks

Where secrets lie in the border fires
And the humming wires
Well you know you're never coming back
Past the square past the bridge
Past the mills past the stacks

On a gathering storm comes a tall handsome man
In a dusty black coat with a red right hand

He'll wrap you in his arms
And tell you that you've been a good boy
He'll rekindle all of those dreams
It took you a lifetime to destroy

He'll reach deep into the hole
Heal your shrinking soul
And there won't be a single thing
That you can do
He's a god, he's a man
He's a ghost, he's a guru

They're whispering his name
Across this disappearing land
But hidden in his coat
Is a red right hand

You don't have no money
He'll get you some
If you haven't got no car
He'll get you one
You've got no self respect
You feel like an insect
Well don't you worry buddy
Cause here he comes
Through the ghetto and the barrio
And the bowery and the slums

A shadow is cast wherever he stands
Stacks of green paper in his red right hand

You'll see him in your nightmares
You'll see him in your dreams
He'll appear out of nowhere
But he's not what he seems
You'll see him in your head and on the TV screen
Hey buddy, I'm warning you to turn it off
He's a ghost, he's a god
He's a man, he's a guru

You're one microscopic cog
In his catastrophic plan
Designed and directed by
His red right hand",Red Right Hand
"Well I watch you tangle every weekend
It might start different but it ends up the same
One minute you're casually speaking
The next it all goes up and you pour fuel on the flame
With your Jerry can of words and tones

And no one's gonna start a revolution
So we best leave it well alone
And there's something that Frankie used to say, Apparently
Oh he says settle for a draw
Well you're not gonna get no more
So you should settle for a draw
I told you once I'm sure
I told you once I'm sure
You should settle for a draw
Why don't you settle for a draw?

Well you're right it is one set of rules for her
And then another set for you
But that's just the way it is I suppose
And there's nowt you can do
And lets not fall in the trap
Of answering back
I am just a beginner
But she'll be the only winner
That's for sure
So take the draw, if it's available
And if it sets on fire don't get out your jerry can of words and tones

And no one's gonna start a revolution
So we best leave it well alone
And there's something that Frankie used to say, Apparently
Oh he says settle for a draw
Well you're not gonna get no more
So you should settle for a draw
I told you once I'm sure
I told you once I'm sure
You should settle for a draw
Why don't you settle for a draw?",Settle For A Draw
"Sketchead
He's coming to your party
He's walking up your drive
And he's swinging all his keys round
Sketchead
He's seen you with your top off
He already knows your boyfriend retain your introductions
Sketchead
That cunts a protagonist
The pips in your quince
They are behind the spoil
The itch you can't itch in your ear
And the knock that shattered your packet of peppermints

Sketchead
There's poison in his spit
He'll compliment your tits
And leave you to your wits
Sketchead
Convincingly insisting the tyres were bald
When you gave him the car
Sketchead
Still coming to your party
Still walking up your drive
And still swinging all his keys round on his finger
As a pendulum to un nerve

And then there's you
You've changed
I approach you like you were the same
But soon it was apparent a new name was required
New lips went and fired accomplishments at me
While I'm captivated by your magazine skin
The tint on your limbs is obscures to begin
And you know full well
That anyone who says that
They don't prefer the sequel
Will still be swinging on themselves tonight",Sketchead
"Open Sesame (We've places to go)
We've people to see (Let's put 'em on hold)
There's all sorts of shapes that I bet you can make
When you had to escape, say the word

Well I know that getting you alone isn't easy to do
But with the exception of you I dislike everyone in the room
And I don't wanna lie but I don't wanna tell you the truth
Get the sense that you're on the move and you'll probably be leaving soon
So I'm telling you

Stop the world cause I wanna get off with you
Stop the world cause I wanna get off with you

Eyes the color of
(Water left in mud)
Ice and sugar dust
(Crazy green flashes)
It's a funny thing that I cannot explain
Don't you know the train keeps rolling

Stop the world cause I wanna get off with you
Stop the world cause I wanna get off with you

Well I know that getting you alone isn't easy to do
And I don't wanna lie and I don't wanna tell you the truth
And I know we got places to go, we got people to see
Think we both ought put 'em on hold and I know you agree

Stop the world cause I wanna get off with you
Stop the world cause I wanna get off with you",Stop The World I Wanna Get Off With You
"I don't ever want to hate you,
So don't show me your bed,
The only roads are cul-de-sacs,
The first thing that she said.

Temptation, greets you like your naughty mate,
The one that used to get you in bother,
But one you could never bring yourself to hate.

And she said we've got that spark,
That only lights a fuse,
Helps you see in the dark,
But it's a sight you'll lose when,
The temptation greets you like your naughty friend.

I don't ever want to hate you,
So don't show me your bed,
The only roads are cul-de-sacs,
The only ends are dead.

Temptation greets you like your naughty mate,
One that made you steal and set things on fire,
But one you haven't seen of late.

And I said that kind of talk,
Only adds intrigue,
To the cauldron of thought,
It's already exceeding,
Temptation, the very thing that held her back.

I don't ever want to hate you,
So don't show me your bed,
The only roads are cul-de-sacs,
The only ends are dead.

I don't ever want to hate you,
It's not part of the plan,
So keep your charm where I can't see it,

And your hands where I can.

[Dizzee Rascal]

We used to be in tight me and my naughty friends,
Caused enticement ? in the air,
I mean day 'n' night,
We robbed, we stole, we loved to fight,
Smoking, drinking, joyriding,
Drugs, thugs, not law-abiding,
Reckless gangsters ? no direction,
No sign of correction,
But then i switched it off,
Changed my ways,
What the hell!
Like oh my days ,
But like my naughty friends,
They're not phased,
Can't believe that this music pays,
See no reason why we can't do,
All the things we've always done,
Still in my heart I know thats just what,
But its hard to fight the temptation son.

[Arctic Monkeys]

The panic will fall down around you,
If you don't do what I say.

I don't ever want to hate you,
So don't show me your bed,
The only roads are cul-de-sacs,
The only ends are dead.

I don't ever want to hate you,
It's not part of the plan,
So keep your charm where I can't see it,
And your hands where I can",Temptation Greets You Like Your Naughty Friend
"Made me kiss ya' with a whisper
and violently you swung, through unfamiliar tounge
Couldn't listen to tradition, grabbed me by the wrist to silently insist

And when I'm in the confines of crawling walls, you hold me in place
The ripples on the ceiling the avenues, unsugared taste
Waste away the evening, the afternoon, the afternoon's hat
Together we'll find something to direct some laughter at

You stood shirtless and confident
Listenin' to the fools, tickling the rules
Their obsessions follow patterns
Sat upon their stools, with their attitudes

And when I'm in the confines of crawling walls, you hold me in place
The ripples on the ceiling the avenues, unsugared taste
Waste away the evening, the afternoon, the afternoon's hat
Together we'll find something to direct some laughter at

And when I'm in the confines of crawling walls, you hold me in place
The ripples on the ceiling the avenues, unsugared taste
Waste away the evening, the afternoon, the afternoon's hat
Together we'll find something to direct some laughter at.",The Afternoon's Hat
"I wish you would have smiled in the bakery
Or sat on a tatty settee
At some mutual friend's gathering
And the more you keep on looking the more it's hard to take
Love, we're in stalemate
To never meet it surely where we're bound
There's one in every town
Just there to grind you down

I wish I would have seen you in the post office
Well maybe I did and I missed it
Too busy with a mind on clever lines
Why not the rounder's pitch or the canteen?
You're slacking love where have you been?
Just had to go and wait until tonight
(To give me the invite don't worry it's alright)

I wish I would have seen you down in the arcade
Sipping on a lemonade
In the paper cup and chewing on the straw
And I wish I'd seen you in the bakery
But if I'd seen you in the bakery
You probably wouldn't have seen me",The Bakery
"Up from the pastures of boredom
out from the sea of discontent
they come in packs like hungry hounds
Up seekers of the dark enchantment.

They haunt the boulevards and bars
they pray to wishing wells and stars
they ride the hurricane of hope
not looking back but on they go
toward the distance and deceiving
and all the while they keep believing
they are special and apart
the lovers, the lovers of the heart... the lovers.

And when they pair off two by two
they feel they are the chosen few
and though their beds are made of straw
they feel like velvet in the night
and so the night is never ending
its made of distance and pretending
coz they're special and apart
the lovers, the lovers of the heart... the lovers.

And when love goes away
and when love goes...
goodbye...
catches in their throats like cotton
rises in their hearts like rain
the good times suddenly are all forgotten
the hunt begins again.

They search the subways and the streets
their faces tired, like their feet
their bodies aching to be warm
and so they hide behind the moon
their loneliness inside them growing
but they take comfort in just knowing
that they are special and apart
the lovers, the lovers of the heart... the lovers

And when love comes again
and when love comes
hello...
rises from their throats like singing
catches in their hearts like wind
the good things
strangers in their arms are bringing
makes life all right again.

They turn their faces to the light
no longer hiding in the night
so unashamed and unafraid
that they can face each others faults
and though the waltz will have its ending
there is no harm in just pretending
that they are special and apart
the lovers, the lovers of the heart... the lovers.",The Lovers
"The smiles as she walked in the room have all turned into frowns
Am I too quick to assume that love is no longer in bloom?
The tantrums and the tears play a very different tune to what they did before
Her head's red raw and the ending doesn't sound like the happiest around
When you sobbed before it felt much more like the product of a squabble
Now there's reason for it to be something more
And no would be...

Oh, it's uncertain whether the curtain has shut for good
She says ""See if it's still raining, I'm not dressed for it and if you loved me-""
Well I interrupted, received the scowl and stare
But still decided to stop her there

Would it be outrageous to say we're either shouting or we're shagging, docked in tempestuous bays?
At least that's how it felt yesterday
The eyes are getting heavier and whether you're asleep or awake is a mystery
Would a kiss be too much to ask?
When you fit me like Sunday's frozen pitch fits the thermos flask
It's a pity, it just hit me we can't go back to the chest touching on the back",Too Much To Ask
"The mixture between,
The fantastic dream,
And the fear,
You wonder where she is,
This afternoon.

And does it get on your nerves,
Make you slightly perturbed,
That there's things that you don't know about her?
And even the places that she's never been with yer,
seem awful empty without her.

You can't look into those eyes,
Down no telephone line,
What if you were right first time? [x2]

The mixture between,
The fantastic dream,
And the fear,
You wonder where she is,
This afternoon.

You can't look into those eyes,
Down no telephone line,
What if you were right first time?",What If You Were Right The First Time?
"I like the way you look at me baby
Please don't try and turn on the lights
I act as if I'm not going crazy
Girl I'm in a muddle tonight
Would you tell me where you're gonna take it
If I had a heart you're the one who should break it

The engines running, can't decide if I should ride away
You and I
You and I

I had a woman, she went away
And now I'm lonely...Fuck it

You and I
You and I

You and I
You and I

Would you tell me where you're gonna take it
If I had a heart you're the one who should break it

The engines running, can't decide if I should ride away
You and I
You and I

You and I
You and I

You and I
You and I

I like the way you look at me baby
Please don't go and turn out the lights
I act as if I'm not going crazy
Girl, I'm in a muddle tonight",You And I
"You got your H.P. Lovecraft
Your Edgar Allan Poe
You got your unkind of ravens
And your murder of crows
Catty eyelashes and your Dracula cape
Been flashing triple A passes
At the cemetary gates

Cause you're so dark, babe
But I want you hard
You're so dark, babe
You're so dark
You're so dark
You're so dark

And you're so mysterious
Got that obsession with death
I saw your driving your Prius
And even that was Munster Koach-esque
You watch Italian horror and you listen to the scores
Leather-clad and spike collar
I want you down on all fours

Cause you're so dark, babe
But I want you hard
You're so dark, babe

I know you're nothing like mine
Cause she's walking on sunshine
And your love would tear us apart
And I know I'm not your type
Cause I don't shun the daylight
But baby I'm willing to start

You're so dark

Got your H.P. Lovecraft
Your Edgar Allen Poe
Got your unkind of ravens
Got your murder of crows

You're so dark, babe
But I want you hard
You're so dark, baby
But I want you hard
You're so dark, oh
But I want you hard
You're so dark, baby",You're So Dark
